m,s,r,g,level,thin,delta,se,n,slope,callup_first,demotion_first,same_day
whiff,2025,bat,IL,"s,r,g",False,0.009279109802671982,0.004027531555892809,128,0.7980583503297255,0.008510078815293072,0.010730452695111341,
whiff,2025,bat,PCL,"s,r,g",False,0.04221015719704218,0.003869337427721694,69,0.9937853066053596,0.04307575367625718,0.039769359009398986,
chase,2023,bat,IL,"s,r,g",False,-5.644157516874873e-05,0.003664852160296024,137,0.8659592651900638,-0.0009660556466801403,0.0022124278362493483,
chase,2023,bat,PCL,"s,r,g",False,0.011176481368218055,0.006271662025920382,63,0.8861924614296637,0.007863332639165048,0.01883795433670768,
chase,2024,bat,IL,"s,r,g",False,0.011993058273214773,0.0038857198763569403,115,0.8076042752415428,0.014040148862863618,0.008982900806824935,
chase,2024,bat,PCL,"s,r,g",False,0.020544523248766048,0.004405995076121339,68,0.9809597479425136,0.01570213389636158,0.028788880842689542,
chase,2025,bat,IL,"s,r,g",False,0.010293775859345981,0.003898167915345567,128,0.8706205802289175,0.005162632031155853,0.019726587168577024,
chase,2025,bat,PCL,"s,r,g",False,0.022506749289690174,0.004546956357555215,69,0.9299734946278974,0.019785308691649912,0.030160684594538738,
csw,2023,SP,IL,"s,r,g",False,-0.009810726929097291,0.0037713735772075554,62,0.3326234372883749,-0.012790846544785836,-0.003252213727065626,
csw,2023,SP,PCL,"s,r,g",False,-0.006523359931665324,0.005468152052732652,20,0.37867233403591777,-0.00740549607650689,-0.003640326764474899,
csw,2024,SP,IL,"s,r,g",False,-0.01795506910702342,0.0032045118788364153,56,0.32584659632826457,-0.017652394395584574,-0.019041920459147915,
csw,2024,SP,PCL,"s,r,g",False,-0.01263566340684443,0.004569152702259148,29,0.43762485536953083,-0.01793267383999522,-0.0022090136642758016,
csw,2025,SP,IL,"s,r,g",False,-0.01343689953876843,0.0040478335003386705,62,0.22813672162944415,-0.014261743163207436,-0.010928410959279202,
csw,2025,SP,PCL,"s,r,g",False,-0.01694760291914459,0.004888460400625192,29,0.4792320661149508,-0.017833619007978595,-0.015175492216590017,
csw,2023,RP,IL,"s,r,g",False,-0.020515605449058526,0.002732843344613695,101,0.5487684527457217,-0.021651357029756912,-0.017872093256564643,
csw,2023,RP,PCL,"s,r,g",False,-0.012441718907108169,0.003827128056591904,49,0.3166453420899443,-0.012714764753381947,-0.011921749302212695,
csw,2024,RP,IL,"s,r,g",False,-0.02716396971711029,0.0035047253942018545,83,0.34740200968204255,-0.029468155906403542,-0.019038814823881565,
csw,2024,RP,PCL,"s,r,g",False,-0.021745034438532148,0.004651288270579366,44,0.6636001818621557,-0.018150332622765126,-0.026947044824984005,
csw,2025,RP,IL,"s,r,g",False,-0.02051945657817476,0.0031590776361297315,106,0.33100815728836464,-0.022809705724753774,-0.014914935621347776,
csw,2025,RP,PCL,"s,r,g",False,-0.02215647477633728,0.004784647877368599,39,0.14301026221378796,-0.01833131262562948,-0.035546686204383386,
